Regno Lact DIM no_test Ageday milk htd milk.1 fat pro L1 L2 L3 L4 L5 L6
1472864 1 47 3 781 6.2 1136139010 6.2 0.13 0.23 0.707 -0.888 0.455 0.253 2.939 0.932
2062454 1 137 3 884 22 1013924 22 0.87 0.66 0.707 -0.148 -0.756 0.331 0.786 -0.496
1411341 1 26 3 873 46 105913904 46 2.01 1.34 0.707 -1.06 0.987 -0.606 5.414 0.526
9365751 1 66 3 845 30 27026139012 30 0.75 0 0.707 -0.732 0.056 0.679 1.693 0.342
7828704 1 163 3 883 46 201138911 46 2.14 1.56 0.707 0.066 -0.784 -0.15 0.793 0.233
1565818 1 191 3 965 30 105213944 30 0.87 0.88 0.707 0.296 -0.652 -0.612 0.781 0.788
1497769 1 218 3 908 26.6 125413919 26.6 0.76 0.88 0.707 0.518 -0.367 -0.833 0.95 0.558
3121637 1 57 3 803 34 204913897 34 1.33 1.35 0.707 -0.806 0.235 0.515 2.188 0.673
7621586 1 95 3 907 28.5 1455813932 28.5 1.03 0.86 0.707 -0.493 -0.406 0.825 0.911 -0.626
7422067 1 109 3 790 38.4 13015139310 38.4 1.28 1.02 0.707 -0.378 -0.565 0.729 0.804 -0.806
4215573 1 18 4 725 35.6 355813941 35.6 1.08 1.03 0.707 -1.126 1.214 -1.055 6.756 -0.229
1516882 1 181 3 905 39.3 110013935 39.3 1.23 1.15 0.707 0.214 -0.718 -0.465 0.78 0.661
1562166 1 194 3 1007 19 127213936 19 0.74 0.69 0.707 0.321 -0.628 -0.651 0.785 0.806
3165106 1 204 3 931 34.7 2017139311 34.7 1.25 1.24 0.707 0.403 -0.534 -0.757 0.818 0.787
1564728 1 133 3 857 35 1045139311 35 1.37 1.11 0.707 -0.181 -0.739 0.399 0.783 -0.585
1621445 1 127 3 906 34 126413938 34 0.96 0.97 0.707 -0.23 -0.707 0.496 0.779 -0.694
7814479 1 48 3 861 44.4 1550313868 44.4 0.85 1.23 0.707 -0.879 0.432 0.283 2.853 0.915
5022387 1 26 3 730 29.1 154138910 29.1 0 0 0.707 -1.06 0.987 -0.606 5.414 0.526
1553440 1 27 3 811 27 119713931 27 1.03 0.76 0.707 -1.052 0.96 -0.554 5.263 0.591
3117924 1 165 3 953 36 1124513895 36 1.33 0 0.707 0.082 -0.78 -0.187 0.792 0.289
1557068 1 86 3 871 43 102113941 43 1.4 1.31 0.707 -0.567 -0.282 0.835 1.052 -0.392
1333448 1 205 3 1065 25.2 13513872 25.2 0.67 0.85 0.707 0.411 -0.524 -0.765 0.824 0.779
7408608 1 300 3 1050 23.2 1301713867 23.2 0 0 0.707 1.192 1.455 1.58 8.366 1.486
1542918 1 303 3 1182 24.6 1387139110 24.6 0.89 0.81 0.707 1.216 1.549 1.796 9.045 2.115
1311341 1 173 3 979 14.8 110213864 14.8 0.68 0.58 0.707 0.148 -0.756 -0.331 0.786 0.496
4195822 1 68 3 854 24 3572139212 24 0.81 0.69 0.707 -0.715 0.018 0.707 1.603 0.264
4176204 1 62 3 786 41.2 1413927 41.2 1.12 1.32 0.707 -0.764 0.133 0.614 1.894 0.496
9727682 1 43 3 863 26.4 3121613928 26.4 0.72 0.77 0.707 -0.921 0.549 0.123 3.309 0.978
4162590 1 209 3 939 36 3523139110 36 0 0 0.707 0.444 -0.479 -0.794 0.851 0.732
8607590 1 116 3 838 38 39013868 38 1.08 1.07 0.707 -0.321 -0.628 0.651 0.785 -0.806
1530007 1 294 3 1031 31 313922 31 2.25 1.14 0.707 1.143 1.273 1.179 7.132 0.491
4212801 1 102 3 846 40 3569139311 40 0.96 1.13 0.707 -0.436 -0.491 0.788 0.843 -0.746
1390448 1 190 3 885 37 1060138912 37 1.25 1.29 0.707 0.288 -0.66 -0.599 0.78 0.78
2051073 1 273 3 1089 33 27138711 33 0.92 0 0.707 0.97 0.697 0.101 3.947 -0.957
1562663 1 219 3 933 36 313932 36 1.23 1.02 0.707 0.526 -0.353 -0.835 0.965 0.533
1426376 1 296 3 1014 28.8 22413905 28.8 1.04 0.92 0.707 1.159 1.333 1.308 7.526 0.787
2054551 1 268 3 1108 29 27024139010 29 0.81 0 0.707 0.929 0.573 -0.088 3.408 -0.983
4132703 1 194 3 976 49 352213892 49 0 0 0.707 0.321 -0.628 -0.651 0.785 0.806
1524432 1 259 3 985 33.2 13213939 33.2 0.98 1.12 0.707 0.855 0.365 -0.368 2.611 -0.849
7410584 1 80 3 814 30.5 18413885 30.5 0.62 1.07 0.707 -0.616 -0.19 0.816 1.19 -0.193
4198132 1 109 3 806 42 355513933 42 1.21 1.13 0.707 -0.378 -0.565 0.729 0.804 -0.806
1494798 1 46 3 746 27.6 1272139111 27.6 0.76 0.84 0.707 -0.896 0.479 0.222 3.028 0.947
1324666 1 141 3 929 36.4 111013866 36.4 1.39 1.27 0.707 -0.115 -0.77 0.26 0.789 -0.396
1490788 1 36 3 902 34.3 122913921 34.3 0.76 1.1 0.707 -0.978 0.722 -0.141 4.064 0.941
1416402 1 135 3 928 40 105213901 40 1.07 1.18 0.707 -0.164 -0.748 0.365 0.784 -0.541
4172329 1 268 3 965 50 3522139212 50 1.6 1.42 0.707 0.929 0.573 -0.088 3.408 -0.983
4155323 1 258 3 955 42 350013914 42 1.16 1.25 0.707 0.847 0.343 -0.395 2.535 -0.824
1628046 1 105 3 703 30 131713943 30 0.5 0.83 0.707 -0.411 -0.524 0.765 0.824 -0.779
9406549 1 262 3 976 28 28010138511 28 0.95 0 0.707 0.879 0.432 -0.283 2.853 -0.915
5613112 1 109 3 924 34 706013856 34 0 0 0.707 -0.378 -0.565 0.729 0.804 -0.806
1553985 1 264 3 1223 27 67313936 27 0.52 0.88 0.707 0.896 0.479 -0.222 3.028 -0.947
4102783 1 246 3 985 45 3522138810 45 1.99 1.43 0.707 0.748 0.094 -0.648 1.79 -0.42
1585748 1 105 3 855 40 1166139311 40 1.81 1.02 0.707 -0.411 -0.524 0.765 0.824 -0.779
1538749 1 74 3 916 28 13513933 28 0.86 0.74 0.707 -0.666 -0.09 0.774 1.371 0.029
6919501 1 235 3 1094 26.2 105713878 26.2 0.95 0.86 0.707 0.658 -0.107 -0.783 1.337 0.009
1291603 1 19 3 874 32 100213861 32 1.15 0.96 0.707 -1.118 1.185 -0.995 6.574 -0.109
8273104 1 154 3 867 35 1735213899 35 0.91 1.11 0.707 -0.008 -0.79 0.019 0.795 -0.03
1279952 1 135 3 950 31.8 125013866 31.8 1.07 1.03 0.707 -0.164 -0.748 0.365 0.784 -0.541
4147287 1 82 3 814 49.6 352313903 49.6 1.54 1.49 0.707 -0.6 -0.221 0.825 1.139 -0.262
9362991 1 204 3 910 26 27138811 26 0.7 0 0.707 0.403 -0.534 -0.757 0.818 0.787
2042940 1 65 3 829 23 2713871 23 0.87 0 0.707 -0.74 0.075 0.664 1.741 0.381
1447848 1 172 3 868 27 123413909 27 0.77 0.92 0.707 0.14 -0.76 -0.313 0.787 0.472
8614172 1 261 3 977 39 390139110 39 1.12 1.25 0.707 0.871 0.41 -0.312 2.77 -0.895
1430172 1 272 3 1063 18.7 2013918 18.7 0.68 0.71 0.707 0.962 0.672 0.061 3.833 -0.969
4090561 1 134 4 905 34.17 11213875 34.17 1.46 0.9 0.707 -0.173 -0.743 0.382 0.783 -0.563
4151574 1 120 4 841 37.8 3533139012 37.8 1.39 1.26 0.707 -0.288 -0.66 0.599 0.78 -0.78
5020588 1 51 3 789 27.5 154138711 27.5 0 0 0.707 -0.855 0.365 0.368 2.611 0.849
7845667 1 79 3 764 36 20113919 36 0 0 0.707 -0.625 -0.174 0.811 1.217 -0.157
4159599 1 69 3 908 40 359413919 40 1.05 1.29 0.707 -0.707 0 0.72 1.56 0.225
1507569 1 45 3 757 21.6 100913925 21.6 0.72 0.69 0.707 -0.904 0.502 0.19 3.119 0.96
1344318 1 74 3 822 31.4 125313879 31.4 0 0 0.707 -0.666 -0.09 0.774 1.371 0.029
1292594 1 276 3 1046 9 2013872 9 0.39 0.32 0.707 0.995 0.773 0.226 4.307 -0.896
3161800 1 261 3 975 35.1 261113937 35.1 0.9 1.07 0.707 0.871 0.41 -0.312 2.77 -0.895
3123370 1 37 3 838 35.7 251013898 35.7 1.21 1.25 0.707 -0.97 0.697 -0.101 3.947 0.957
7843252 1 107 3 923 35 1557313923 35 0.62 1.07 0.707 -0.395 -0.544 0.748 0.813 -0.795
1523222 1 170 3 906 29 110113911 29 1.17 0.8 0.707 0.123 -0.767 -0.278 0.788 0.422
4125297 1 57 3 756 35 360013895 35 0 0 0.707 -0.806 0.235 0.515 2.188 0.673
1516689 1 193 3 963 24.6 119413917 24.6 0.63 0.76 0.707 0.312 -0.636 -0.638 0.783 0.801
5021476 1 28 3 799 30.3 15413891 30.3 0 0 0.707 -1.044 0.932 -0.504 5.116 0.651
1347133 1 114 3 873 39 105213881 39 0.73 1.07 0.707 -0.337 -0.611 0.675 0.788 -0.812
1601581 1 64 3 825 37.6 1414139211 37.6 1.12 1.1 0.707 -0.748 0.094 0.648 1.79 0.42
1441381 1 268 3 1026 21.8 1087139011 21.8 0 0 0.707 0.929 0.573 -0.088 3.408 -0.983
3121400 1 226 3 945 38.2 16813901 38.2 1.52 1.21 0.707 0.584 -0.252 -0.831 1.093 0.329
4217924 1 228 3 893 29 354913942 29 1.01 0.79 0.707 0.6 -0.221 -0.825 1.139 0.262
4206428 1 265 3 955 22.3 359713942 22.3 0.71 0.78 0.707 0.904 0.502 -0.19 3.119 -0.96
5021185 1 127 3 919 34.6 15413891 34.6 0 0 0.707 -0.23 -0.707 0.496 0.779 -0.694
1521254 1 61 3 854 11.5 107139211 11.5 0.4 0.36 0.707 -0.773 0.153 0.596 1.949 0.533
8806206 1 41 3 764 21.8 18413873 21.8 0.8 0.83 0.707 -0.937 0.598 0.052 3.51 0.984
1571144 1 96 3 826 35.6 1208139212 35.6 1.42 0.91 0.707 -0.485 -0.419 0.821 0.899 -0.647
1353445 1 288 3 1050 0 110113886 0 0 0 0.707 1.093 1.099 0.822 6.053 -0.204
4128880 1 279 3 985 35 355013888 35 0 0 0.707 1.019 0.852 0.36 4.696 -0.796
1460661 1 97 3 800 35.2 11013916 35.2 0.96 1.13 0.707 -0.477 -0.431 0.816 0.888 -0.666
9365781 1 125 3 960 25.1 2702613914 25.1 0.7 0 0.707 -0.247 -0.694 0.527 0.779 -0.724
8611004 1 235 3 1338 41 39013893 41 1.94 1.37 0.707 0.658 -0.107 -0.783 1.337 0.009
7864012 1 10 3 729 25.2 15610139212 25.2 0.8 0.81 0.707 -1.192 1.455 -1.58 8.366 -1.486
1330174 1 70 3 1534 37.8 118013884 37.8 1.16 1.05 0.707 -0.699 -0.019 0.733 1.52 0.185
1589467 1 155 3 844 36.4 1084139311 36.4 1.39 1.21 0.707 0 -0.791 0 0.796 0
4163561 1 142 3 912 35 360013912 35 0 0 0.707 -0.107 -0.773 0.242 0.79 -0.37
4196285 1 108 3 793 35.6 361013936 35.6 0.95 1.06 0.707 -0.386 -0.555 0.738 0.808 -0.801
7864006 1 184 3 955 12 1561013936 12 0.47 0.35 0.707 0.238 -0.701 -0.512 0.779 0.71
1514815 1 98 3 790 35.8 107513923 35.8 1.01 0.98 0.707 -0.469 -0.444 0.812 0.878 -0.685
1433701 1 32 3 741 30 1336138911 30 1.2 0.84 0.707 -1.011 0.826 -0.315 4.563 0.834
4158301 1 304 3 1065 34.2 355513925 34.2 1.28 1.07 0.707 1.225 1.581 1.871 9.281 2.345
4201133 1 74 3 853 51.3 358913942 51.3 2.23 1.31 0.707 -0.666 -0.09 0.774 1.371 0.029
2066218 1 103 3 760 45.6 241913936 45.6 1.55 1.44 0.707 -0.427 -0.502 0.781 0.836 -0.758
2060965 1 216 3 1021 26 2702713925 26 0 0 0.707 0.501 -0.393 -0.828 0.923 0.605
1256954 1 71 3 800 34.8 251013859 34.8 1.11 0.73 0.707 -0.69 -0.037 0.744 1.48 0.146
4102000 1 236 4 947 29.6 355813886 29.6 1.12 0.91 0.707 0.666 -0.09 -0.774 1.371 -0.029
3135140 1 135 4 1205 35.8 130413916 35.8 0.62 1.25 0.707 -0.164 -0.748 0.365 0.784 -0.541
1429059 1 63 3 788 35.2 133138910 35.2 1.31 0.99 0.707 -0.756 0.114 0.632 1.841 0.458
7843928 1 288 3 1001 20.6 15520139110 20.6 0.8 0.94 0.707 1.093 1.099 0.822 6.053 -0.204
7818863 1 166 3 882 42.8 15503138810 42.8 1.25 1.36 0.707 0.09 -0.778 -0.205 0.791 0.316
4085784 1 236 3 946 32.1 3500138612 32.1 0.64 1 0.707 0.666 -0.09 -0.774 1.371 -0.029
1428750 1 96 3 946 40 67313904 40 1.2 1.2 0.707 -0.485 -0.419 0.821 0.899 -0.647
4097030 1 17 3 801 25.7 355513881 25.7 0.65 0.7 0.707 -1.134 1.244 -1.117 6.942 -0.356
9360849 1 45 3 953 42 2713872 42 1.43 0 0.707 -0.904 0.502 0.19 3.119 0.96
5615246 1 66 3 773 27 706013865 27 0 0 0.707 -0.732 0.056 0.679 1.693 0.342
1444125 1 93 3 789 27.2 125313903 27.2 0.65 0.93 0.707 -0.51 -0.38 0.831 0.936 -0.582
4135315 1 240 3 917 46 3522139011 46 1.74 1.38 0.707 0.699 -0.019 -0.733 1.52 -0.185
5640032 1 29 3 808 45 703313917 45 2.48 1.52 0.707 -1.036 0.905 -0.455 4.973 0.704
1548440 1 167 3 902 30.1 104613934 30.1 1.15 0.79 0.707 0.099 -0.775 -0.224 0.791 0.343
1345061 1 133 3 852 35.4 1558813873 35.4 1.05 1.21 0.707 -0.181 -0.739 0.399 0.783 -0.585
9407744 1 126 3 857 42.2 2801013881 42.2 1.25 1.24 0.707 -0.238 -0.701 0.512 0.779 -0.71
1334133 1 201 3 943 0 105613884 0 0 0 0.707 0.378 -0.565 -0.729 0.804 0.806
4111658 1 268 3 1092 21.6 3591138712 21.6 0.81 0.87 0.707 0.929 0.573 -0.088 3.408 -0.983
5625026 1 204 3 959 27 717413904 27 0 0 0.707 0.403 -0.534 -0.757 0.818 0.787
1531739 1 21 3 882 36 104113929 36 1.39 1.04 0.707 -1.101 1.128 -0.878 6.223 0.107
9369580 1 65 3 859 32 2702313941 32 0.93 0 0.707 -0.74 0.075 0.664 1.741 0.381
5310339 1 122 3 850 24 2713894 24 0.48 0 0.707 -0.271 -0.674 0.571 0.779 -0.761
4127469 1 186 3 906 32.8 351413896 32.8 0 0 0.707 0.255 -0.688 -0.542 0.778 0.737
1544853 1 56 3 726 35 105213925 35 1.08 0.98 0.707 -0.814 0.256 0.493 2.253 0.706
3099002 1 183 3 1037 30.4 15613881 30.4 0.81 0.85 0.707 0.23 -0.707 -0.496 0.779 0.694
4161502 1 71 3 707 42.2 357113908 42.2 0.63 1.2 0.707 -0.69 -0.037 0.744 1.48 0.146
1296931 1 227 3 988 37.8 120813863 37.8 1.47 1.05 0.707 0.592 -0.237 -0.828 1.116 0.296
9406505 1 69 3 753 31 2801013853 31 0.96 0 0.707 -0.707 0 0.72 1.56 0.225
3139166 1 270 3 944 26.2 208413918 26.2 0.89 0.91 0.707 0.945 0.622 -0.015 3.615 -0.983
1364750 1 210 3 942 31 107138812 31 0.91 0.83 0.707 0.452 -0.467 -0.801 0.859 0.718
1431363 1 219 3 956 36.2 119313895 36.2 0 0 0.707 0.526 -0.353 -0.835 0.965 0.533
3151630 1 124 3 809 32.6 251013923 32.6 1.08 0.95 0.707 -0.255 -0.688 0.542 0.778 -0.737
7838209 1 271 3 1042 43.5 20113917 43.5 1.38 1.39 0.707 0.953 0.647 0.022 3.723 -0.978
1499851 1 120 3 850 33 1234139111 33 0.33 1.06 0.707 -0.288 -0.66 0.599 0.78 -0.78
3101263 1 160 3 1041 18.2 246913885 18.2 0.65 0.51 0.707 0.041 -0.788 -0.094 0.795 0.147
1358261 1 180 3 1044 31.4 102313895 31.4 1.04 0.81 0.707 0.205 -0.724 -0.449 0.78 0.643
5005263 1 167 3 948 43 15413862 43 0 0 0.707 0.099 -0.775 -0.224 0.791 0.343
3111313 1 226 3 1273 23 15613902 23 0.76 0.66 0.707 0.584 -0.252 -0.831 1.093 0.329
1256875 1 137 3 862 35.6 132138510 35.6 1.98 1.4 0.707 -0.148 -0.756 0.331 0.786 -0.496
7817292 1 103 3 891 45.4 20113877 45.4 1.24 1.19 0.707 -0.427 -0.502 0.781 0.836 -0.758
5020230 1 102 3 890 30.5 15413877 30.5 0 0 0.707 -0.436 -0.491 0.788 0.843 -0.746
3156705 1 157 3 890 36.7 2427139211 36.7 0.92 1.06 0.707 0.016 -0.79 -0.038 0.795 0.059
3170791 1 222 3 923 31 2513943 31 0.82 0.85 0.707 0.551 -0.311 -0.837 1.014 0.451
4184573 1 208 3 967 37.4 357113931 37.4 1.07 0.97 0.707 0.436 -0.491 -0.788 0.843 0.746
4126709 1 141 3 833 32 360013904 32 0 0 0.707 -0.115 -0.77 0.26 0.789 -0.396
1424047 1 263 3 1015 20 123413906 20 0 0 0.707 0.888 0.455 -0.253 2.939 -0.932
5020104 1 98 3 908 37 15413875 37 0 0 0.707 -0.469 -0.444 0.812 0.878 -0.685
1583730 1 165 3 896 13 10913914 13 0.42 0.4 0.707 0.082 -0.78 -0.187 0.792 0.289
8617867 1 177 3 914 39.2 261113939 39.2 1.53 1.43 0.707 0.181 -0.739 -0.399 0.783 0.585
1391975 1 291 3 1131 36 1052138910 36 0 0 0.707 1.118 1.185 0.995 6.574 0.109
7411640 1 283 3 1036 28 184138910 28 0 0.96 0.707 1.052 0.96 0.554 5.263 -0.591
1528544 1 82 3 795 40 1017139012 40 1.14 1.18 0.707 -0.6 -0.221 0.825 1.139 -0.262
5625200 1 48 3 930 29.5 706013892 29.5 0 0 0.707 -0.879 0.432 0.283 2.853 0.915
4198972 1 264 3 955 35 351413937 35 1.45 1.04 0.707 0.896 0.479 -0.222 3.028 -0.947
3169578 1 107 3 935 9.6 2427139311 9.6 0.34 0.25 0.707 -0.395 -0.544 0.748 0.813 -0.795
1469187 1 182 3 897 37 123413915 37 1.04 1.22 0.707 0.222 -0.713 -0.481 0.779 0.678
1587106 1 67 3 725 38 1159139311 38 1.17 1.11 0.707 -0.723 0.037 0.694 1.647 0.303
1364512 1 240 3 942 0 10713885 0 0 0 0.707 0.699 -0.019 -0.733 1.52 -0.185
1575838 1 173 3 870 38 131713934 38 0.79 1.01 0.707 0.148 -0.756 -0.331 0.786 0.496
8618608 1 80 3 1032 46.5 2100313942 46.5 1.13 1.44 0.707 -0.616 -0.19 0.816 1.19 -0.193
1525044 1 207 3 914 41.2 100913935 41.2 1.56 1.21 0.707 0.427 -0.502 -0.781 0.836 0.758
1356848 1 204 3 905 38.8 122513891 38.8 1.47 1.02 0.707 0.403 -0.534 -0.757 0.818 0.787
1471398 1 127 3 882 38.8 105913914 38.8 1.85 1.12 0.707 -0.23 -0.707 0.496 0.779 -0.694
1445331 1 173 3 950 24.1 127913911 24.1 0.91 0.8 0.707 0.148 -0.756 -0.331 0.786 0.496
2062363 1 12 3 983 16.6 1013926 16.6 0.68 0.56 0.707 -1.175 1.394 -1.441 7.937 -1.118
4184196 1 270 3 994 43 356913929 43 1.1 1.33 0.707 0.945 0.622 -0.015 3.615 -0.983
7834388 1 79 3 789 43.6 1550313902 43.6 0.69 1.26 0.707 -0.625 -0.174 0.811 1.217 -0.157
4120523 1 272 4 1113 22.4 356613899 22.4 0 0 0.707 0.962 0.672 0.061 3.833 -0.969
4127495 1 8 3 661 31 351413891 31 0 0 0.707 -1.208 1.518 -1.723 8.814 -1.895
5021612 1 161 3 854 27 15413895 27 1.05 0.95 0.707 0.049 -0.787 -0.113 0.794 0.176
1378259 1 155 3 906 24 113613887 24 0.92 0.64 0.707 0 -0.791 0 0.796 0
4226848 1 38 3 716 35 3559139311 35 1.23 1.14 0.707 -0.962 0.672 -0.061 3.833 0.969
7860659 1 89 3 775 36.1 20113936 36.1 1.08 0.99 0.707 -0.542 -0.325 0.837 0.997 -0.479
7834943 1 151 3 795 30.8 1551513908 30.8 0.84 0.97 0.707 -0.033 -0.789 0.075 0.795 -0.118
7409162 1 189 3 1511 25.4 1301413866 25.4 0.99 0.89 0.707 0.279 -0.667 -0.585 0.779 0.771
1309359 1 130 3 916 32 104613864 32 1.07 0.98 0.707 -0.205 -0.724 0.449 0.78 -0.643
1383351 1 257 3 1164 39.6 125013896 39.6 1.21 1.24 0.707 0.838 0.321 -0.421 2.461 -0.796
1590327 1 184 3 1078 42.7 114613939 42.7 1.39 1.5 0.707 0.238 -0.701 -0.512 0.779 0.71
1480643 1 257 3 1251 41.7 358913932 41.7 0.6 1.11 0.707 0.838 0.321 -0.421 2.461 -0.796
8407777 1 71 3 864 31 1852813869 31 0.75 0 0.707 -0.69 -0.037 0.744 1.48 0.146
1477285 1 203 3 898 26.4 224139111 26.4 0.92 0.78 0.707 0.395 -0.544 -0.748 0.813 0.795
4201181 1 125 3 840 36 352213942 36 0.88 1 0.707 -0.247 -0.694 0.527 0.779 -0.724
